"annotation_id","annotator","created_at","id","label","lead_time","text","updated_at"
1,"1","2024-02-13T05:54:25.560983Z",1,"[{""start"":71,""end"":73,""text"":""寡鹰"",""labels"":[""姓名""]},{""start"":76,""end"":78,""text"":""绿寡"",""labels"":[""姓名""]},{""start"":88,""end"":90,""text"":""绿寡"",""labels"":[""姓名""]}]",35.28,"群口相声。始终处于“亚高潮”状态。说平淡也不算平淡，打戏人太多又嗨不到沸点。提神全靠铁罐。就是——打打打，斗嘴，斗嘴，段子，打打打，斗嘴…【拆寡鹰，硬凑绿寡 0。0 ||| 可绿寡这么生硬，好意思吗？","2024-02-13T05:54:25.561984Z"
2,"1","2024-02-13T05:54:29.958586Z",2,"",4.002,"只有脑残粉爱看的电影，其他人统统呼呼大睡。漫威，再见。","2024-02-13T05:54:29.958586Z"
3,"1","2024-02-13T05:54:32.397928Z",3,"",2.027,"我是男脑残粉 所以怎么都好看","2024-02-13T05:54:32.397928Z"
4,"1","2024-02-13T05:54:34.937944Z",4,"",2.166,"虽然从头打到尾，但是真的很无聊啊。","2024-02-13T05:54:34.937944Z"
5,"1","2024-02-13T05:54:54.296243Z",5,"",19.031,"首映就冲去看了！作为漫威脑残粉当然咬紧牙关也要给5星但我必须承认我在开场前20分钟都没能入戏，熬过前20分钟就会渐入佳境（没入也别找我说了我脑残了！）本集冷笑话好多，彩蛋也浅显易懂，于是下一集我们应该会再见到银河护卫队了吧。最后，双胞胎姐姐好美腻！！","2024-02-13T05:54:54.296243Z"
6,"1","2024-02-13T05:55:19.304351Z",6,"[{""start"":21,""end"":23,""text"":""幻视"",""labels"":[""姓名""]},{""start"":38,""end"":40,""text"":""奥创"",""labels"":[""姓名""]},{""start"":80,""end"":82,""text"":""快银"",""labels"":[""姓名""]},{""start"":86,""end"":89,""text"":""万磁王"",""labels"":[""姓名""]}]",24.636,"我锤帅呆了！！！我队也是本命！！！还蛮想跟幻视来一发！！！捂脸···btw，奥创是个大傻逼·，谁要用陨石撞地球来毁灭人类啊，有那个功夫多复制几个自己啊···而且快银不应该是万磁王的儿子么，而且还挂了···平行宇宙大法？","2024-02-13T05:55:19.304351Z"
7,"1","2024-02-13T05:55:26.495289Z",7,"[{""start"":0,""end"":3,""text"":""刘大勇"",""labels"":[""姓名""]}]",6.818,"刘大勇你好！字幕翻译太烂了，节奏不连贯，没看过前作的观众肯定晕菜。场面很炫酷，故事性较差，各种英雄脑抽式掐架，失望！","2024-02-13T05:55:26.495289Z"
8,"1","2024-02-13T05:55:35.539016Z",8,"",8.702,"5分。虽然调低了期望，仍难免失望，甚至连视觉奇观都没啥新鲜感了。故事很简单，但讲得太凌乱，人物技能倒是继续酷炫，但基本都扁平。强调他们各自的烦恼与阴影，略刻意略重了些。反正你们想干啥就干啥，我继续默默地看你们High喽～[doge]PS：心疼谷大……","2024-02-13T05:55:35.539016Z"
9,"1","2024-02-13T05:55:40.285420Z",9,"[{""start"":1,""end"":3,""text"":""台湾"",""labels"":[""地址""]}]",4.405,"在台湾看了一回电影","2024-02-13T05:55:40.285420Z"
10,"1","2024-02-13T05:55:42.275238Z",10,"",1.642,"哪个保证一刀不剪的，不是剪了好几刀吗！","2024-02-13T05:55:42.275238Z"
