"annotation_id","annotator","created_at","id","lead_time","sentiment","text_a","updated_at"
28,"1","2024-08-25T14:36:53.549330Z",1,7.374,"差评","奥创设定太差。","2024-08-25T14:36:53.549330Z"
29,"1","2024-08-25T14:43:49.249698Z",2,11.14,"其他","连奥创都知道整容要去韩国。","2024-08-25T14:43:49.249698Z"
30,"1","2024-08-25T14:43:59.819326Z",3,10.347,"好评","我是男脑残粉 所以怎么都好看","2024-08-25T14:43:59.819326Z"
31,"1","2024-08-25T14:44:23.274029Z",4,23.253,"差评","失望失望太失望","2024-08-25T14:44:23.274029Z"
32,"1","2024-08-25T14:44:33.664527Z",5,10.173,"差评","算是很普通的超人片子了，两星分别是scar和maximoff twins哒","2024-08-25T14:44:33.664527Z"
33,"1","2024-08-25T14:44:36.368162Z",6,2.504,"差评","简直看不下去","2024-08-25T14:44:36.368162Z"
34,"1","2024-08-25T14:45:27.224062Z",7,2.562,"差评","虽然从头打到尾，但是真的很无聊啊。","2024-08-25T14:45:27.224062Z"
35,"1","2024-08-25T14:45:29.181615Z",8,1.741,"差评","好山好水好无聊。。。。","2024-08-25T14:45:29.181615Z"
36,"1","2024-08-25T14:45:31.273015Z",9,1.891,"差评","超长版运动产品广告","2024-08-25T14:45:31.273015Z"
37,"1","2024-08-25T14:45:34.772468Z",10,3.298,"差评","在一个系列里起到承前启后的作用，但就单部而言，人物线索编排过密，缺乏集聚效果。","2024-08-25T14:45:34.772468Z"
38,"1","2024-08-25T14:45:37.063752Z",11,2.103,"差评","跪求乔斯·韦登回去弄“螢火蟲”，別再搞這些沒什麼營養的漫威大片。","2024-08-25T14:45:37.063752Z"
39,"1","2024-08-25T14:45:42.659454Z",12,5.399,"其他","看毕，我激动地对友人说，等等奥创要来毁灭台北怎么办厚，她拍了拍我肩膀，没事，反正你买了两份旅行保险，惹......","2024-08-25T14:45:42.659454Z"
40,"1","2024-08-25T14:45:44.116947Z",13,1.265,"差评","昏昏欲睡 一盘散沙","2024-08-25T14:45:44.116947Z"
41,"1","2024-08-25T14:45:46.466660Z",14,2.152,"差评","哪个保证一刀不剪的，不是剪了好几刀吗！","2024-08-25T14:45:46.466660Z"
42,"1","2024-08-25T14:45:48.320746Z",15,1.645,"差评","不出意料得烂，喜欢这部电影的孩子，大概也喜欢变4……","2024-08-25T14:45:48.320746Z"
43,"1","2024-08-25T14:45:49.757844Z",16,1.247,"差评","Shi一样的剧情啊","2024-08-25T14:45:49.757844Z"
44,"1","2024-08-25T14:45:51.532638Z",17,1.56,"差评","感覺不到任何感情","2024-08-25T14:45:51.532638Z"
45,"1","2024-08-25T14:45:54.832106Z",18,3.095,"差评","能不能痛痛快快地打，别有一搭没一搭地来感情戏。","2024-08-25T14:45:54.832106Z"
46,"1","2024-08-25T14:45:57.051783Z",19,2.018,"差评","通篇洋溢着「我鸡巴大我先说」的直男气息，但紧身衣又出卖了它","2024-08-25T14:45:57.051783Z"
47,"1","2024-08-25T14:45:59.106441Z",20,1.854,"其他","我就问一句：老万是被炸死的老万造吗？","2024-08-25T14:45:59.106441Z"
48,"1","2024-08-25T14:46:00.564766Z",21,1.246,"其他","在台湾看了一回电影","2024-08-25T14:46:00.564766Z"
49,"1","2024-08-25T14:46:03.239268Z",22,2.473,"其他","刘大勇贾秀琰师徒真是狙击资本主义巨制界的先锋","2024-08-25T14:46:03.239268Z"
50,"1","2024-08-25T14:46:06.913810Z",23,3.457,"差评","没有了洛基这个小基仔真是觉得即墨如雪啊","2024-08-25T14:46:06.913810Z"
51,"1","2024-08-25T14:46:08.459467Z",24,1.341,"差评","奥创弱爆了弱爆了弱爆了啊！！！！！！","2024-08-25T14:46:08.459467Z"
52,"1","2024-08-25T14:46:10.134425Z",25,1.48,"差评","avengers1睡着1次 avengers2睡着两次。。。","2024-08-25T14:46:10.134425Z"
53,"1","2024-08-25T14:46:11.859522Z",26,1.538,"差评","呵呵","2024-08-25T14:46:11.859522Z"
54,"1","2024-08-25T14:46:13.279735Z",27,1.216,"差评","这是什么鬼啊！！","2024-08-25T14:46:13.279735Z"
55,"1","2024-08-25T14:46:16.495253Z",28,3.007,"好评","绝逼不质疑尾灯的导演和编剧水平","2024-08-25T14:46:16.495253Z"
56,"1","2024-08-25T14:46:18.470602Z",29,1.784,"差评","越是一本正经，就是越是无趣。个个死不了，撕了扯了砸了死了的，你也不关心。全程梦游。","2024-08-25T14:46:18.470602Z"
57,"1","2024-08-25T14:46:20.986700Z",30,2.313,"好评","猩红女巫美哭了，为何要弄我大快银 嘤嘤嘤","2024-08-25T14:46:20.986700Z"
58,"1","2024-08-25T14:46:23.565632Z",31,2.37,"差评","一般般，然后为什么澳洲电影院的爆米花是咸的！！！！！","2024-08-25T14:46:23.565632Z"
59,"1","2024-08-25T14:46:25.322892Z",32,1.554,"好评","你们看美队的胸！隔着大半个屋子都能感受到！","2024-08-25T14:46:25.322892Z"
60,"1","2024-08-25T14:46:26.726643Z",33,1.204,"差评","一顿瞎打","2024-08-25T14:46:26.726643Z"
61,"1","2024-08-25T14:46:28.935895Z",34,2.019,"差评","什么破烂反派，毫无戏剧冲突能消耗两个多小时生命，还强加爱情戏。脑残片好圈钱倒是真的。","2024-08-25T14:46:28.935895Z"
62,"1","2024-08-25T14:46:30.727965Z",35,1.584,"好评","只有脑残粉爱看的电影，其他人统统呼呼大睡。漫威，再见。","2024-08-25T14:46:30.727965Z"
